id	filename	md5	size	state
0b92ff8a-f41c-4dc0-a86d-0f1bc83441ef	7cf82e1d-569e-4a10-a384-3144f3c00305.FPKM-UQ.txt.gz	91cf440e4f27b216df072c5eb35b1a67	522056	live
055e2cb1-d3d3-422b-af55-835ff7d32a1f	f828b2e0-2ad4-4669-9f1e-2ef2dd74706d.FPKM.txt.gz	5dc72880d9928a21b2b693d4a15f2aaf	490280	live
1145f14e-29f4-4bc5-a830-818a45260f01	9ad28472-32f0-4cb5-ba51-17d3e75fe85d.htseq.counts.gz	67693bad95a2bbbb24e58fe9f280d08a	255328	live
2bc70d0a-3e90-44ec-a67b-888d3ba9c481	6a508e94-c094-4c0f-85c3-5ea50b54a399.FPKM.txt.gz	c80383d2607525c31600c082f03b1409	541416	live
65b8d724-2d70-4858-807b-9e9eb943b930	3c49cb1a-c0f5-4b74-81f9-aa18d3da1e43.htseq.counts.gz	75550139c59e1aa9f0e85ebdca21fed9	251761	live
6bf5fdfd-489f-45b3-bedc-f1c7dff64652	33fa1673-1d0d-4838-a313-1929c5af60d1.FPKM-UQ.txt.gz	e25d9d489506ce45f8810b5cc664e3c6	524568	live
72a84769-39e4-45be-abce-f38b8be9d597	de2ffea0-e172-45e2-aa15-f543758deb78.htseq.counts.gz	11f55942ffbb9ab83648be539d5c1fb9	255791	live
2ea08d5a-1ae6-4944-8b07-aabe1599dc2a	379553b2-13c2-4543-a9c3-9616fc249730.htseq.counts.gz	e32666d6f22987529043ecf1fd92bf20	257405	live
4a6279a2-6328-49e8-8afe-06641cf1ed00	0320d3aa-0b8c-4bda-854a-eed5a2d48eda.htseq.counts.gz	e39902c512abcf40cab976fd3a347429	253085	live
4be3b19e-b6b6-4627-815e-60cf0c6faeb9	acf02cd5-270d-40c0-864d-abebe048f309.FPKM.txt.gz	9dd15d1794f643f09f985d2bfc32f263	514572	live
f27a0b2a-5acc-4b0d-b5b4-1e1be0d09374	b76eefac-da30-4ee4-9670-4afc45f86b4b.htseq.counts.gz	5fb06076df398bfbcfe6c287511b8cab	254472	live
5b89d366-d374-4c7b-b400-193596070184	a2233404-f380-4bd6-8770-0d4ba8998fd9.FPKM-UQ.txt.gz	fea86222979869ef61c50cb4ca66c556	508299	live
9754d9e1-76c4-4b61-bc41-ecbed082ae98	318901b4-4f1c-4017-8113-5115747c6a67.FPKM.txt.gz	9b9847449736fa5636e365b7028c37dc	493177	live
551d3a58-88f4-4ccd-8b7a-0d86c4c69ce4	b3b6981a-b5db-481c-bc27-76a114856b03.htseq.counts.gz	133386a9b5781b17fa8a9d4be036272d	250918	live
c36ccf01-7cea-4933-b42f-579f03c8b3cd	cf4d50b3-f391-43ee-8887-10de9bca126e.FPKM-UQ.txt.gz	775795e19b816f3292e68fc869262425	509518	live
9f4ee50a-b368-4adb-ad78-487d1bdfeb6c	913970e0-54a5-44b3-a93d-a3d8218fb006.FPKM-UQ.txt.gz	b51288bf67b6081251ba76cea28ecc08	521815	live
a092b508-b347-4ed1-a443-d547d9b62162	aaec9256-9b45-4208-8eed-29e590c34c09.FPKM-UQ.txt.gz	63f51d88a5655b9e3764a7df49f432bf	524590	live
73bdeb34-4967-452c-8fe8-f49019573691	3067f41a-e3f1-47f5-9545-56d54fa75b98.FPKM.txt.gz	b2f3e3d7244e1cb251ced8fc82ed58dd	536627	live
e3381c34-884f-423e-83fa-e48fbe68d2df	63b48baa-7826-4b1e-ae67-7cdbd36a4e92.FPKM.txt.gz	6f459191b19b64a8761ea9285bf7d3eb	526089	live
48962e15-d297-4612-b69e-75383e690f21	0786b089-8ed6-452e-b160-145e495f6862.FPKM-UQ.txt.gz	7496d5edabdcabc477bcd83b0c391232	516553	live
f371b7cc-d6bb-47cd-806d-1b2a469aeb54	1f853089-c40d-4bee-9833-837f327b275a.FPKM-UQ.txt.gz	77cd4266a1457e0ae32ebdc27bbccee0	541483	live
8225ae02-3c0b-4039-9c58-755b8e22090a	720b9121-0bc4-4ff8-8a36-f146fea4da3c.FPKM.txt.gz	1ed57b076991c1b889e61e1ca3eba589	524258	live
409c635c-d3a8-4d19-9f10-5d20420b35e4	0d38dab7-b983-4829-9a5b-d79f0fee6f26.FPKM-UQ.txt.gz	9ff9e68dd242ef9bd46b58331ea1be6d	539621	live
b1b5ae68-5d15-473a-afb0-83c9de200627	0c2cf133-50aa-44c9-b4a8-5d17ac2f54f4.htseq.counts.gz	7920345474156822cb9c970f2306c11c	254564	live
acc014e1-2761-41f9-b2c9-89cc351ad599	683bed23-e01d-4ad4-b1c6-fb6e31a69492.FPKM-UQ.txt.gz	83effb1aa65b4373e30edc515a84cb75	510884	live
d0fae173-8098-4be8-b601-ab2946c0d4cf	c0838214-75ee-4668-85fe-4247b8e5ea1c.FPKM.txt.gz	2a25b9188a93d499568ff0402d365d61	515286	live
